Result	Lemma	Person	Gender	Case	Number	Part of Speech	Reference
ἑαυτῆς	ἑαυτοῦ	3p	fem	gen	sg	pronoun	Mt 6:34,Mt 12:25,Mt 12:25,Lk 13:34,1 Co 13:5,1 Th 2:7
ἑαυτὰ	ἑαυτοῦ	2p	neu	acc	pl	pronoun	1 Jn 5:21
ἑαυταῖς	ἑαυτοῦ	3p	fem	dat	pl	pronoun	Mt 25:9
ἑαυτοὺς	ἑαυτοῦ	3p	mas	acc	pl	pronoun	Mt 19:12,Mk 1:27,Mk 9:10,Mk 11:31,Mk 12:7,Lk 7:30,Lk 20:5,Lk 20:20,Lk 22:23,Ac 23:12,Ac 23:21,2 Co 8:5,2 Co 10:12,2 Co 10:12,2 Co 10:12,Eph 4:19,2 Th 3:9,1 Ti 6:10,1 Pe 4:10,Jud 12,Re 2:2,Re 2:9,Re 3:9,Re 6:15
ἑαυτὸν	ἑαυτοῦ	3p	mas	acc	sg	pronoun	Mt 12:26,Mt 16:24,Mt 18:4,Mt 23:12,Mt 23:12,Mt 27:42,Mk 3:26,Mk 5:5,Mk 8:34,Mk 12:33,Mk 15:31,Lk 9:23,Lk 9:25,Lk 10:29,Lk 11:18,Lk 14:11,Lk 14:11,Lk 15:17,Lk 18:11,Lk 18:14,Lk 18:14,Lk 23:2,Lk 24:12,Jn 5:18,Jn 11:33,Jn 19:7,Jn 19:12,Jn 21:1,Jn 21:7,Ac 1:3,Ac 8:9,Ac 16:27,Ac 19:31,Ac 25:4,Ac 28:16,Ro 14:22,1 Co 3:18,1 Co 11:28,1 Co 14:4,2 Co 10:18,Ga 1:4,Ga 2:12,Ga 2:20,Ga 6:4,Eph 5:2,Eph 5:25,Eph 5:28,Php 2:7,Php 2:8,2 Th 2:4,1 Ti 2:6,2 Ti 2:13,2 Ti 2:21,Tt 2:14,Heb 5:5,Heb 7:27,Heb 9:14,Heb 12:3,Jas 1:24,Jas 1:27,1 Jn 5:18
ἑαυτοῖς	ἑαυτοῦ	2p	mas	dat	pl	pronoun	Mt 3:9,Mt 23:31,Mk 9:50,Lk 3:8,Lk 12:1,Lk 12:33,Lk 16:9,Lk 17:3,Lk 21:34,Jn 5:42,Jn 6:53,Ac 20:28,Ro 11:25,Ro 12:16,Eph 4:32,Eph 5:19,Col 3:13,1 Th 5:13,Jas 2:4
ἑαυτῶν	ἑαυτοῦ	3p	neu	gen	pl	pronoun	Jud 13
ἑαυτούς	ἑαυτοῦ	1p	mas	acc	pl	pronoun	2 Co 10:12,2 Co 10:14
ἑαυτῶν	ἑαυτοῦ	3p	fem	gen	pl	pronoun	Re 10:3
ἑαυτάς	ἑαυτοῦ	3p	fem	acc	pl	pronoun	Mk 16:3,1 Ti 2:9
ἑαυτοῖς	ἑαυτοῦ	3p	mas	dat	pl	pronoun	Mt 9:3,Mt 14:15,Mt 16:7,Mt 16:8,Mt 21:25,Mt 21:38,Mk 2:8,Mk 4:17,Mk 6:36,Mk 6:51,Lk 7:49,Lk 18:9,Jn 17:13,Jn 19:24,Ac 5:35,Ro 1:27,Ro 2:14,Ro 13:2,2 Co 5:15,2 Co 10:12,2 Co 10:12,1 Ti 3:13,1 Ti 6:19,2 Ti 4:3,Heb 6:6,1 Pe 1:12,2 Pe 2:1
ἑαυτῶν	ἑαυτοῦ	1p	mas	gen	pl	pronoun	2 Co 3:5,2 Co 3:5,1 Th 2:8,Heb 10:25
ἑαυτῷ	ἑαυτοῦ	3p	mas	dat	sg	pronoun	Mt 13:21,Mk 5:30,Lk 7:39,Lk 9:47,Lk 12:17,Lk 12:21,Lk 16:3,Lk 18:4,Lk 19:12,Jn 5:26,Jn 5:26,Jn 6:61,Jn 11:38,Jn 19:17,Ac 10:17,Ac 12:11,Ro 14:7,Ro 14:7,Ro 15:3,1 Co 11:29,1 Co 14:28,1 Co 16:2,2 Co 5:18,2 Co 5:19,2 Co 10:7,Eph 5:27,Tt 2:14,Heb 5:4
Ἑαυτοὺς	ἑαυτοῦ	2p	mas	acc	pl	pronoun	2 Co 13:5
ἑαυτοὺς	ἑαυτοῦ	1p	mas	acc	pl	pronoun	Ac 23:14,1 Co 11:31,2 Co 3:1,2 Co 4:2,2 Co 4:5,2 Co 4:5,2 Co 5:12,2 Co 6:4,2 Co 7:1,1 Jn 1:8
ἑαυτήν	ἑαυτοῦ	3p	fem	acc	sg	pronoun	Jas 2:17
ἑαυτοῖς	ἑαυτοῦ	1p	mas	dat	pl	pronoun	Ro 8:23,Ro 15:1,2 Co 1:9,2 Co 1:9
ἑαυτούς	ἑαυτοῦ	2p	mas	acc	pl	pronoun	Mk 13:9,Lk 22:17,Jas 1:22
ἑαυτὰς	ἑαυτοῦ	2p	fem	acc	pl	pronoun	Lk 23:28
ἑαυτῇ	ἑαυτοῦ	3p	fem	dat	sg	pronoun	Mt 9:21,Ac 7:21
ἑαυτούς	ἑαυτοῦ	3p	mas	acc	pl	pronoun	Mk 10:26,Mk 14:4,Jn 7:35,Jn 11:55,Jn 12:19,1 Co 16:15,Col 3:16,2 Jn 8
ἑαυτῶν	ἑαυτοῦ	2p	mas	gen	pl	pronoun	Mk 14:7,Lk 12:57,Lk 21:30,Jn 12:8,1 Co 6:7,1 Co 6:19,Php 2:3,Php 2:4,Php 2:12
ἑαυτὰς	ἑαυτοῦ	3p	fem	acc	pl	pronoun	1 Pe 3:5
ἑαυτῶν	ἑαυτοῦ	3p	mas	gen	pl	pronoun	Mt 8:22,Mt 15:30,Mt 18:31,Mt 21:8,Mt 26:11,Mk 8:14,Mk 9:8,Lk 2:39,Lk 9:60,Lk 12:36,Lk 16:8,Ac 21:23,Ro 16:4,Ro 16:18,Eph 5:28,Eph 5:28,Php 2:21,2 Th 3:12,Jud 6,Jud 16,Jud 18
ἑαυτοῦ	ἑαυτοῦ	3p	neu	gen	sg	pronoun	Lk 11:26,Jn 15:4,Ro 14:14,Eph 4:16
ἑαυτοὺς	ἑαυτοῦ	2p	mas	acc	pl	pronoun	Lk 16:15,Lk 17:14,Ac 13:46,Ac 15:29,Ro 6:11,Ro 6:13,Ro 6:16,Ro 12:19,2 Co 7:11,2 Co 13:5,2 Co 13:5,Heb 3:13,Heb 10:34,1 Pe 4:8,Jud 20,Jud 21
ἑαυτοῦ	ἑαυτοῦ	3p	mas	gen	sg	pronoun	Lk 2:3,Lk 11:21,Lk 13:19,Lk 14:26,Lk 14:26,Lk 14:27,Lk 14:33,Lk 15:20,Lk 16:5,Lk 19:13,Lk 24:27,Jn 5:19,Jn 7:18,Jn 9:21,Jn 11:51,Jn 16:13,Ac 8:34,Ac 21:11,Ro 4:19,Ro 5:8,Ro 8:3,Ro 14:12,1 Co 7:2,1 Co 7:37,1 Co 7:38,1 Co 10:24,1 Co 10:29,2 Co 10:7,Ga 6:4,Ga 6:8,Eph 5:28,Eph 5:29,Eph 5:33,1 Th 2:11,1 Th 2:12,1 Th 4:4,2 Th 2:6,Heb 6:13,Heb 9:7,Heb 12:16,Re 10:7
αὑτῷ	ἑαυτοῦ	3p	mas	dat	sg	pronoun	1 Jn 5:10
ἑαυτόν	ἑαυτοῦ	3p	mas	acc	sg	pronoun	Lk 23:35,Jn 8:22,Jn 13:4,Ac 5:36,Ga 6:3,Eph 5:33,Heb 9:25,1 Jn 3:3
ἑαυτὴν	ἑαυτοῦ	3p	fem	acc	sg	pronoun	Mk 3:24,Mk 3:25,Lk 1:24,Lk 11:17,Re 2:20,Re 19:7
ἑαυτῶν	ἑαυτοῦ	3p	feminine, masculine	gen	pl	pronoun	Mt 25:1,Mt 25:3,Mt 25:4,Mt 25:7
ἑαυτοῦ	ἑαυτοῦ	3p	neuter, masculine	gen	sg	pronoun	Mt 12:45,Mt 12:45
